Id;Name;Revision;Usage;PrimaryPartId;Id;Name;ComplectationId;Id;Name;Date;Engine;Body;Grade;ATM;GearShiftType;Cab;TransmissionModel;LoadingCapacity;RearTire;Destination;FuelInduction;BuildingCondition;DoorsCount;Transmission;CarModelId;Id;Model;Code;ProductionYear;Type;MarketId;Id;Name;BrandId;Id;Name
25;СТАРТЕР;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
26;ВАКУУМНЫЙ НАСОС;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
27;ФОРСУНКА;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
28;INJECTION PUMP ASSEMBLY;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
29;INJECTION PUMP BODY;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
30;ТОПЛИВНЫЙ ФИЛЬТР;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
31;ВИЛКА ВЫКЛЮЧЕНИЯ СЦЕПЛЕНИЯ;NULL;NULL;2;2;Трансмиссия/Подвеска;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
32;ПЕДАЛЬ & FLEXIBLE HOSE;NULL;NULL;2;2;Трансмиссия/Подвеска;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
33;ГЛАВНЫЙ ЦИЛИНДР СЦЕПЛЕНИЯ;NULL;NULL;2;2;Трансмиссия/Подвеска;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
34;РАБОЧИЙ ЦИЛИНДР ГИДРОПРИВОДА СЦЕПЛЕНИЯ;NULL;NULL;2;2;Трансмиссия/Подвеска;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
